Level,School Name,Grade,Calendar,Magnet Program,School Membership 2008-09,KI-Kindergarten,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi - Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi - Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2007-08,"NC ABC Results Growth Recognition
 2007-08","NC ABC Results Performance Recognition
 2007-08",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
S,Broughton High,.9-12,T,International Baccalaureate,2249,,,,,,,,,,722,546,538,443,1137,1112,4,96,129,679,1272,69,0.2%,4.3%,5.7%,30.2%,56.6%,3.1%,489,21.7%,85,3.8%,133,5.9%,NO,78.6,Not Met Exp. Growth,No Recognition,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,89,2249,(6),1799,12,2081,13.8%,108.1%
S,Cary High,.9-12,T,N/A,1751,,,,,,,,,,544,404,408,395,915,836,3,96,237,309,1040,66,0.2%,5.5%,13.5%,17.6%,59.4%,3.8%,410,23.4%,106,6.1%,194,11.1%,NO,83.3,Expected Growth,School of Distinction,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,111,1751,0,2243,0,2243,0.0%,78.1%
S,"East Wake School of Arts, Education and Global Studies",.9-12,T,N/A,423,,,,,,,,,,140,104,82,97,164,259,1,5,51,190,160,16,0.2%,1.2%,12.1%,44.9%,37.8%,3.8%,186,44.0%,14,3.3%,20,4.7%,NO,55.1,Not Met Exp. Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,21,423,0,440,1,464,5.1%,91.2%
S,East Wake School of Engineering Systems,.9-12,T,N/A,373,,,,,,,,,,148,87,70,68,293,80,3,4,50,134,167,15,0.8%,1.1%,13.4%,35.9%,44.8%,4.0%,137,36.7%,13,3.5%,23,6.2%,NO,54.4,Not Met Exp. Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,22,373,0,306,4,402,0.0%,92.8%
S,East Wake School of Health Science,.9-12,T,N/A,408,,,,,,,,,,125,95,96,92,158,250,2,2,41,155,196,12,0.5%,0.5%,10.0%,38.0%,48.0%,2.9%,145,35.5%,14,3.4%,24,5.9%,NO,54.1,Not Met Exp. Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,20,408,45,421,2,421,11.4%,96.9%
S,East Wake School of Integrated Technology,.9-12,T,N/A,369,,,,,,,,,,153,83,81,52,208,161,,5,60,184,103,17,0.0%,1.4%,16.3%,49.9%,27.9%,4.6%,163,44.2%,11,3.0%,24,6.5%,NO,43.1,Not Met Exp. Growth,Low-Performing,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,21,369,(3),445,0,445,0.0%,82.9%
S,Enloe High,.9-12,T,"GT/IB Center for Humanities, Sciences & the Arts",2643,,,,,,,,,,792,692,558,601,1274,1369,3,318,115,969,1154,84,0.1%,12.0%,4.4%,36.7%,43.7%,3.2%,561,21.2%,38,1.4%,73,2.8%,NO,77.8,Not Met Exp. Growth,No Recognition,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,126,2643,36,2551,0,2587,0.0%,102.2%
S,Fuquay-Varina High ,.9-12,T,N/A,1843,,,,,,,,,,608,432,391,412,906,937,4,21,149,358,1256,55,0.2%,1.1%,8.1%,19.4%,68.1%,3.0%,375,20.3%,20,1.1%,48,2.6%,NO,75.4,Expected Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,82,1843,0,1639,11,1903,13.8%,96.8%
S,Garner High ,.9-12,T,International Baccalaureate,2317,,,,,,,,,,778,570,445,524,1219,1098,11,20,260,1113,838,75,0.5%,0.9%,11.2%,48.0%,36.2%,3.2%,823,35.5%,66,2.8%,162,7.0%,NO,64.2,Not Met Exp. Growth,No Recognition,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,86,2317,(24),1727,42,2150,20.1%,107.8%
S,Green Hope High,.9-12,T,N/A,2006,,,,,,,,,,541,508,464,493,1017,989,1,315,78,108,1436,68,0.0%,15.7%,3.9%,5.4%,71.6%,3.4%,107,5.3%,35,1.7%,72,3.6%,NO,92.5,High Growth,Honor Schools of Excellence,Yes,West Raleigh/Morrisville,Patti Head,Western Area,Kathy Chontos,Cary,CARY,82,2006,66,1639,17,2113,19.3%,94.9%
S,Holly Springs High,.9-12,T,N/A,1671,,,,,,,,,,492,452,384,343,854,817,10,40,139,341,1068,73,0.6%,2.4%,8.3%,20.4%,63.9%,4.4%,282,16.9%,26,1.6%,60,3.6%,NO,79,Expected Growth,School of Progress,No,Southern Wake,Ron Margiotta,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,83,1671,78,1663,0,1741,0.0%,96.0%
S,Knightdale High,.9-12,T,N/A,1807,,,,,,,,,,660,433,382,332,942,865,9,45,245,862,587,59,0.5%,2.5%,13.6%,47.7%,32.5%,3.3%,606,33.5%,57,3.2%,134,7.4%,NO,59.8,Expected Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,83,1807,12,1663,16,2059,18.6%,87.8%
S,Leesville Road High,.9-12,T,N/A,2502,,,,,,,,,,766,653,548,535,1254,1248,8,132,178,493,1618,73,0.3%,5.3%,7.1%,19.7%,64.7%,2.9%,377,15.1%,52,2.1%,142,5.7%,NO,83.7,Not Met Exp. Growth,No Recognition,Yes,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,104,2502,0,2075,12,2363,12.1%,105.9%
S,Middle Creek High,.9-12,T,N/A,1697,,,,,,,,,,550,401,401,345,867,830,6,28,173,417,1028,45,0.4%,1.6%,10.2%,24.6%,60.6%,2.7%,380,22.4%,46,2.7%,88,5.2%,NO,78.2,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,South-Western Area,Julye Mizelle,Cary,CARY,82,1697,12,1639,18,2083,20.7%,81.5%
S,Millbrook High ,.9-12,T,N/A,2417,,,,,,,,,,832,629,497,459,1243,1174,5,120,329,901,992,70,0.2%,5.0%,13.6%,37.3%,41.0%,2.9%,727,30.1%,104,4.3%,230,9.5%,NO,70.3,Not Met Exp. Growth,No Recognition,No,North Raleigh,Kevin Hill,Northern Area,Ann Hooker,Raleigh,RALEIGH,104,2417,(15),2075,18,2492,17.3%,97.0%
S,Panther Creek High ,.9-12,T,N/A,2194,,,,,,,,,,677,603,528,386,1093,1101,10,290,128,317,1347,102,0.5%,13.2%,5.8%,14.4%,61.4%,4.6%,163,7.4%,50,2.3%,101,4.6%,NO,87.6,Expected Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,Western Area,Kathy Chontos,Cary,CARY,83,2194,84,1663,0,1747,0.0%,125.6%
S,Sanderson High,.9-12,T,N/A,1946,,,,,,,,,,623,468,431,424,951,995,2,68,196,563,1049,68,0.1%,3.5%,10.1%,28.9%,53.9%,3.5%,510,26.2%,61,3.1%,103,5.3%,NO,82.2,Not Met Exp. Growth,No Recognition,No,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,86,1946,14,1735,10,1989,12.0%,97.8%
S,Southeast Raleigh High,.9-12,MOD,Center for Leadership and Technology,1637,,,,,,,,,,446,441,353,397,851,786,3,36,49,1151,360,38,0.2%,2.2%,3.0%,70.3%,22.0%,2.3%,474,29.0%,10,0.6%,22,1.3%,NO,64.7,Not Met Exp. Growth,No Recognition,No,East Raleigh,Rosa Gill,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,85,1637,6,1699,16,2089,18.3%,78.4%
S,Wake Early College of Health and Science,.9-11,WECHS,Early College,204,,,,,,,,,,71,65,68,,63,141,1,16,14,80,87,6,0.5%,7.8%,6.9%,39.2%,42.6%,2.9%,39,19.1%,1,0.5%,7,3.4%,NO,69.5,Not Met Exp. Growth,No Recognition,Yes,East Raleigh,Rosa Gill,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,8,204,0,204,0,204,0.0%,100.0%
S,Wake Forest-Rolesville High,.9-12,T,N/A,1872,,,,,,,,,,538,467,401,466,917,955,8,27,91,397,1280,69,0.4%,1.4%,4.9%,21.2%,68.4%,3.7%,296,15.8%,12,0.6%,35,1.9%,NO,79.1,Expected Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Wake Forest,WAKE FOREST,81,1872,0,1615,35,2455,34.2%,76.3%
S,Wakefield High,.9-12,T,N/A,2721,,,,,,,,,,838,701,611,571,1364,1357,10,127,261,708,1536,79,0.4%,4.7%,9.6%,26.0%,56.4%,2.9%,533,19.6%,101,3.7%,195,7.2%,NO,77.5,Expected Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,107,2721,(6),2885,31,2885,25.7%,94.3%
S/O,Longview School,.6-12,T,N/A,107,,,,,,,14,17,19,30,16,3,8,87,20,,,3,88,13,3,0.0%,0.0%,2.8%,82.2%,12.1%,2.8%,76,71.0%,0,0.0%,1,0.9%,NO,16.2,Not Met Exp. Growth,No ABC Status,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,23,107,0,102,0,102,0.0%,104.9%
S/O ,Mount Vernon School,.KI-8,T,N/A,87,,3,9,11,9,8,4,14,29,,,,,61,26,,1,10,50,22,4,0.0%,1.1%,11.5%,57.5%,25.3%,4.6%,59,67.8%,1,1.1%,6,6.9%,NO,30.2,Expected Growth,No ABC Status,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,30,87,0,110,1,120,8.3%,72.5%
S/O,Phillips High School,.9-12,T,N/A,145,,,,,,,,,,48,30,5,62,50,95,1,,10,125,7,2,0.7%,0.0%,6.9%,86.2%,4.8%,1.4%,85,58.6%,0,0.0%,2,1.4%,NO,16.8,Not Met Exp. Growth,No Recognition,No,East Raleigh,Rosa Gill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,20,145,0,144,0,144,0.0%,100.7%
S/O,River Oaks Middle School,.6-8,T,N/A,11,,,,,,,,6,5,,,,,8,3,,,,9,2,,0.0%,0.0%,0.0%,81.8%,18.2%,0.0%,9,81.8%,0,0.0%,0,0.0%,NO,31.5,Not Met Exp. Growth,No Recognition,,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,14,11,0,0,0,,,
,Total,,,,137706,11629,11712,11611,11123,10800,10633,10512,10209,10200,12287,9957,8638,8395,70010,67696,382,7953,15892,35925,71282,6272,0.3%,5.8%,11.5%,26.1%,51.8%,4.6%,39060,28.4%,7062,5.1%,12850,9.3%,40 schools,,,,,,,,,,,6972,137706,-1479,122755,1171,146706,18.9%,93.9%
