Code,Level,School Name,Calendar,Magnet Program,School Membership 2009-10,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi-Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi-Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2008-09,"NC ABC Results Growth Recognition
 2008-09","NC ABC Results Performance Recognition
 2008-09",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
607,M,West Lake Middle,Y-R,N/A,1448,,,,,,,501,484,463,,,,,724,724,6,28,167,255,930,62,0.4%,1.9%,11.5%,17.6%,64.2%,4.3%,366,25.1%,44,3.0%,92,6.4%,NO,86.4%,High Growth,School of Distinction,Yes,Southeast Wake,John Tedesco,SouthWestern Wake County,Julye Mizelle,Cary,CARY,56,1448,(58),1189,12,1443,21.6%,100.3%
608,M,West Millbrook Middle,T,N/A,879,,,,,,,330,302,247,,,,,481,398,4,24,129,221,468,33,0.5%,2.7%,14.7%,25.1%,53.2%,3.8%,323,36.7%,38,4.3%,78,8.9%,NO,69.7%,Expected Growth,School of Progress,No,North Raleigh,Kevin Hill,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,59,879,(19),955,8,1144,18.1%,76.8%
636,M,Zebulon Middle,T,Gifted & Talented,564,,,,,,,180,193,191,,,,,308,256,,2,89,220,229,24,0.0%,0.4%,15.8%,39.0%,40.6%,4.3%,314,55.9%,9,1.6%,39,6.9%,NO,68.2%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Zebulon,ZEBULON,58,564,49,740,0,789,0.0%,71.5%
316,S,Apex High,T,N/A,2269,,,,,,,,,,662,582,547,478,1192,1077,4,107,115,181,1784,78,0.2%,4.7%,5.1%,8.0%,78.6%,3.4%,206,9.1%,36,1.6%,58,2.6%,NO,90.6%,Expected Growth,School of Excellence,No,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,82,2269,(12),1639,35,2467,34.0%,92.0%
318,S,Athens Drive High ,T,N/A,1830,,,,,,,,,,563,461,434,372,967,863,6,125,171,469,1003,56,0.3%,6.8%,9.3%,25.6%,54.8%,3.1%,548,30.0%,92,5.0%,146,8.0%,NO,80.9%,Not Met Expected Growth,No Recognition,No,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,86,1830,(99),1735,15,1996,18.0%,91.7%
348,S,Broughton High,T,N/A,2269,,,,,,,,,,669,580,502,518,1147,1122,6,105,155,692,1238,73,0.3%,4.6%,6.8%,30.5%,54.6%,3.2%,618,27.2%,87,3.8%,120,5.3%,NO,82.6%,Expected Growth,School of Distinction,No,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,89,2269,(6),1799,12,2081,13.8%,109.0%
368,S,Cary High,T,N/A,2030,,,,,,,,,,641,557,447,385,1087,943,10,114,256,362,1181,107,0.5%,5.6%,12.6%,17.8%,58.2%,5.3%,521,25.6%,93,4.6%,199,9.8%,NO,85.3%,High Growth,School of Distinction,No,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,111,2030,0,2243,0,2243,0.0%,90.5%
702,S,"East Wake School of Arts, Education and Global Studies",T,N/A,404,,,,,,,,,,120,100,91,93,171,233,1,5,61,167,157,13,0.2%,1.2%,15.1%,41.3%,38.9%,3.2%,193,48.7%,14,3.5%,23,5.7%,NO,63.5%,High Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wake County,WAKE COUNTY,21,404,0,440,0,440,0.0%,91.8%
703,S,East Wake School of Engineering Systems,T,N/A,389,,,,,,,,,,135,105,82,67,300,89,2,2,46,140,180,19,0.5%,0.5%,11.8%,36.0%,46.3%,4.9%,172,43.8%,12,3.1%,22,5.7%,NO,59.0%,Not Met  Expected Growth,Priority School,No,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wake County,WAKE COUNTY,20,389,(1),380,6,523,27.5%,74.4%
700,S,East Wake School of Health Science,T,N/A,374,,,,,,,,,,118,85,78,93,139,235,2,2,48,144,163,15,0.5%,0.5%,12.8%,38.5%,43.6%,4.0%,156,41.3%,10,2.7%,27,7.2%,NO,55.0%,Not Met  Expected Growth,Priority School,No,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wake County,WAKE COUNTY,20,374,45,328,1,397,6.0%,94.2%
701,S,East Wake School of Integrated Technology,T,N/A,358,,,,,,,,,,130,92,69,67,199,159,,3,71,164,97,23,0.0%,0.8%,19.8%,45.8%,27.1%,6.4%,175,49.9%,12,3.4%,28,7.8%,NO,50.0%,Not Met  Expected Growth,Priority School,No,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wake County,WAKE COUNTY,21,358,(3),448,0,445,0.0%,80.4%
412,S,Enloe High,T,"GT/IB Center for Humanities, Sciences & the Arts",2657,,,,,,,,,,797,657,595,608,1303,1354,3,322,134,1039,1060,99,0.1%,12.1%,5.0%,39.1%,39.9%,3.7%,753,28.2%,50,1.9%,89,3.3%,NO,77.0%,Not Met Expected Growth,No Recognition,No,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,126,2657,36,2587,0,2659,0.0%,99.9%
428,S,Fuquay-Varina High ,T,N/A,1921,,,,,,,,,,592,519,448,362,990,931,7,24,204,363,1258,65,0.4%,1.2%,10.6%,18.9%,65.5%,3.4%,490,25.6%,28,1.5%,70,3.6%,NO,80.8%,High Growth,School of Distinction,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,82,1921,0,1639,23,2191,25.1%,87.7%
436,S,Garner High ,T,International Baccalaureate,2311,,,,,,,,,,825,575,479,432,1203,1108,10,16,294,1058,848,85,0.4%,0.7%,12.7%,45.8%,36.7%,3.7%,890,38.6%,68,2.9%,132,5.7%,NO,68.7%,Not Met Expected Growth,No Recognition,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,86,2311,(24),1727,40,2663,36.0%,86.8%
441,S,Green Hope High,T,N/A,1979,,,,,,,,,,513,516,497,453,1026,953,1,346,80,98,1391,63,0.1%,17.5%,4.0%,5.0%,70.3%,3.2%,119,6.0%,37,1.9%,49,2.5%,NO,94.6%,High Growth,School of Excellence,No,West Raleigh/Morrisville,Deborah Prickett,Western Wake County,Kathryn Chontos,Cary,CARY,82,1979,66,1639,17,2113,19.3%,93.7%
455,S,Holly Springs High,T,N/A,1808,,,,,,,,,,589,420,446,353,939,869,8,44,152,339,1183,82,0.4%,2.4%,8.4%,18.8%,65.4%,4.5%,351,19.3%,32,1.8%,57,3.2%,NO,84.7%,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,Southern Wake County,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,83,1808,78,1663,8,1933,9.9%,93.5%
466,S,Knightdale High,T,N/A,1939,,,,,,,,,,658,510,401,370,1016,923,11,46,284,927,591,80,0.6%,2.4%,14.6%,47.8%,30.5%,4.1%,770,40.0%,47,2.4%,138,7.1%,NO,66.7%,Expected Growth,School of Progress,No,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Knightdale,KNIGHTDALE,83,1939,12,1663,16,2059,18.6%,94.2%
473,S,Leesville Road High,T,N/A,2501,,,,,,,,,,776,601,608,516,1238,1263,3,135,165,527,1594,77,0.1%,5.4%,6.6%,21.1%,63.7%,3.1%,460,18.4%,48,1.9%,114,4.6%,NO,86.1%,Expected Growth,School of Distinction,No,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,104,2501,0,2075,12,2363,12.1%,105.8%
495,S,Middle Creek High,T,N/A,1754,,,,,,,,,,522,445,403,384,900,854,5,31,183,491,1001,43,0.3%,1.8%,10.4%,28.0%,57.1%,2.5%,465,26.5%,54,3.1%,96,5.5%,NO,82.2%,High Growth,School of Distinction,No,South Central Raleigh,Anne McLaurin,SouthWestern Wake County,Julye Mizelle,Cary,CARY,82,1754,12,1639,18,2083,20.7%,84.2%
500,S,Millbrook High ,T,International Baccalaureate,2432,,,,,,,,,,704,638,543,547,1251,1181,4,106,303,905,1038,76,0.2%,4.4%,12.5%,37.2%,42.7%,3.1%,840,34.3%,90,3.7%,185,7.6%,NO,73.1%,Expected Growth,School of Progress,No,North Raleigh,Kevin Hill,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,104,2432,(15),2075,18,2492,17.3%,97.6%
526,S,Panther Creek High ,T,N/A,2239,,,,,,,,,,607,576,568,488,1113,1126,9,319,141,324,1334,112,0.4%,14.2%,6.3%,14.5%,59.6%,5.0%,258,11.6%,48,2.1%,118,5.3%,NO,89.0%,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,Western Wake County,Kathryn Chontos,Cary,CARY,83,2239,84,1663,22,2275,23.2%,98.4%
552,S,Sanderson High,T,N/A,1988,,,,,,,,,,670,493,409,416,1020,968,3,69,202,589,1048,77,0.2%,3.5%,10.2%,29.6%,52.7%,3.9%,605,30.7%,95,4.8%,128,6.4%,NO,83.4%,High Growth,School of Distinction,No,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,86,1988,14,1735,10,1989,12.0%,99.9%
562,S,Southeast Raleigh High,MOD,Center for Leadership and Technology,1565,,,,,,,,,,442,388,384,351,832,733,2,34,95,1119,276,39,0.1%,2.2%,6.1%,71.5%,17.6%,2.5%,617,38.6%,31,2.0%,60,3.8%,NO,66.2%,Not Met Expected Growth,No Recognition,No,East Raleigh,Keith Sutton,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,85,1565,0,1663,12,1975,15.7%,79.2%
583,S,Wake Early College of Health and Sciences,WECHS,Early College,215,,,,,,,,,,48,65,49,53,60,155,,22,22,70,93,8,0.0%,10.2%,10.2%,32.6%,43.3%,3.7%,62,28.8%,1,0.5%,7,3.3%,NO,86.4%,High Growth,School of Distinction,Yes,East Raleigh,Keith Sutton,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,11,215,0,215,0,215,0.0%,100.0%
588,S,Wake Forest-Rolesville High,T,N/A,1949,,,,,,,,,,613,490,450,396,957,992,8,27,112,416,1319,67,0.4%,1.4%,5.7%,21.3%,67.7%,3.4%,409,21.0%,17,0.9%,43,2.2%,NO,79.5%,Expected Growth,School of Progress,No,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Wake Forest,WAKE FOREST,83,1949,66,1663,27,2377,27.2%,82.0%
595,S,Wakefield High,T,N/A,2813,,,,,,,,,,797,744,679,593,1409,1404,6,136,299,719,1571,82,0.2%,4.8%,10.6%,25.6%,55.8%,2.9%,622,22.1%,99,3.5%,203,7.2%,NO,80.6%,High Growth,School of Distinction,No,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,107,2813,(6),2147,39,3077,30.4%,91.4%
324,S/O,Longview School,T,N/A,102,,,,,,,9,15,13,39,11,12,3,82,20,,,3,88,8,3,0.0%,0.0%,2.9%,86.3%,7.8%,2.9%,84,79.2%,0,0.0%,1,1.0%,NO,18.9%,No ABCs Status,No ABCs Status,No,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,26,102,0,102,0,102,0.0%,100.0%
528,S/O,Mary E. Phillips High School,T,N/A,166,,,,,,,,,,25,77,16,48,49,117,,,9,148,6,3,0.0%,0.0%,5.4%,89.2%,3.6%,1.8%,104,61.9%,0,0.0%,5,3.0%,NO,30.4%,High Growth,No ABCs Status,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,22,166,0,144,0,144,0.0%,115.3%
508,S/O ,Mount Vernon School,T,N/A,79,,5,2,10,15,10,7,11,19,,,,,61,18,,3,8,46,19,3,0.0%,3.8%,10.1%,58.2%,24.1%,3.8%,37,42.0%,0,0.0%,7,8.9%,NO,41.3%,High Growth,No ABCs Status,Yes,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,30,79,0,110,1,120,8.3%,65.8%
438,S/O,River Oaks Middle School,T,N/A,28,,,,,,,2,7,19,,,,,17,11,,,7,12,9,,0.0%,0.0%,25.0%,42.9%,32.1%,0.0%,17,54.8%,0,0.0%,5,17.9%,NO,44.0%,Expected Growth,No ABCs Status,No,East Raleigh,Keith Sutton,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,14,28,0,0,0,,,
,,Total,,,139599,10647,11880,11618,11625,11094,10926,10715,10621,10248,12255,10287,9237,8446,71092,68507,380,8501,16516,36174,71388,6640,0.3%,6.1%,11.8%,25.9%,51.1%,4.8%,43729,31.2%,6875,4.9%,12467,8.9%,,,,,,,,,,,,7305,139599,-1919,128659,1071,152177,16.8%,91.7%
